title,description,price,status,url,date_public
Куртка легка karirmor  оригінал для хлопця,"Оригінал, чудова якість. Легкий , не сковує рухи , теплий .
В дуже хорошому стані
Пух не збитий .
Розмір 158 см
 Додаткові фото / відео надам ,пишіть",800,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/kurtka-legka-karirmor-orignal-dlya-hloptsya-IDQC49a.html?sd=1,Опубліковано Сьогодні о 11:26
Лего лотом оригинал,"Продажа
Плотно набитый Лего пакет,все до единой детали оригинал (вес на последнем фото) 
Состояние хорошее
Отправлю любым удобным способом 
450 грн (торг уместен)
(Внутри находятся детали для строительства,колеса,немного деталей для Лего техник, платформы,двери,шины и т.д) 
По всем вопросам обращайтесь в ЛС
Критиков попрошу не тревожить",450,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/lego-lotom-original-IDR8qOq.html?sd=1,Опубліковано Сьогодні о 11:27
Лялька Блайз ручна робота,"Лялька Блайз ручної роботи.
Гарна дівчинка, індивідуальна та неповторна.
Відправка укр пошта та нова пошта.
Після оплати на карту.
Моя сторінка в інстаграмі angelinaslipchenko.",3300,Бізнес,https://www.olx.ua/d/uk/obyavlenie/lyalka-blayz-ruchna-robota-IDR7ejB.html?sd=1,Опубліковано Сьогодні о 11:26
Піжамні штани на хлопчика підлітка,"Піжамні штани на хлопчика підлітка в чудовому стані. Довжина 91 см, крок 66 см, по поясу 30 см. Пояс на резинці.",85,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/pzhamn-shtani-na-hlopchika-pdltka-IDR8qSJ.html?sd=1,Опубліковано Сьогодні о 11:29
Оригинальные машинки Hot wheels,"Оригинальные машинки Hot Wheels
Заводская упаковка .
Отправка olx доставкой.
Все вопросы по телефону",120,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/originalnye-mashinki-hot-wheels-IDPaoWZ.html?sd=1,Опубліковано Сьогодні о 11:27
Светящиеся туфельки детские  тапочки подошва 15 см стелька 13-14 см!,"Классные тапочки со светодиодными лампочками ,которые при ходьбе светятся )
Отличное состояние ,ходили только дома ,на лоджии ,на улице не были ни разу в них ,теперь  ножка выросла продаю по ненадобности!
Указан размер 4 
Подошва 15 см ,стелька 13-14 см !",60,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/svetyaschiesya-tufelki-detskie-tapochki-podoshva-15-sm-stelka-13-14-sm-IDKRgns.html?sd=1,Опубліковано Сьогодні о 11:31
Розпродаж! Новий набір постільної білизни в дитяче ліжечко 9 елементів,"Розпродаж! Новий набір постільної білизни в дитяче ліжечко 9 елементів - 899 грн

Актуальні ціни і наявність можна подивитися на сайті:  magazinbaby. com. ua
На інших сайтах ціни і наявність товару може бути неактуальним
З усіх питань - пишіть на вайбер: 09******17
Замовити можна:
1. на сайті 
2. по телефону: 09*********67, 06*********65,  09*********17
3. написати замовлення на вайбер: 09******17
Магазин знаходиться в м. Харків, вул. Ціліноградська 58Б. СБ. та СЕР.: 12-00 -14-00. В інший час - працюємо на видачу замовлень оформлених на сайті Перед приїздом краще уточнити наявність товару по телефону: 06******65  В інші міста відправка новою поштою. Наложеним відправляємо з авансом 20% 
НАПИШІТЬ ВАШЕ ПИТАННЯ НА ВАЙБЕР 09******17 - СКИНЕМО ВІДПОВІДЬ НА ВАШЕ ПИТАННЯ
Комплект в ліжечко для новонароджених ТМ ""ВАВУ"" 9 елементів.
Для пошиття постільної білизни в ліжечко використовуються тканини європейської якості, основними перевагами яких є: гіпоалергенність, стійкість принтів до прання (не линяють, не сідають), міцність та довговічність.
Дитяча постільна білизна (9 елементів) – забезпечить дитині спокійний та комфортний сон. Комплект дитячої постільної білизни складається з 9 елементів: ковдри, підковдри, подушки, наволочки, простирадла на резинці, роздільного захисного бортика (підійде на ліжко з стороною, що опускається), балдахіна на все ліжечко, підвіски "" бант"" та великої кишені. Дитяча постільна білизна (9 елементів) виготовлена ​​з натуральних матеріалів -100% бавовни, пофарбованої гіпоалергенними барвниками. Комплект представлений у широкій гамі кольорів (як для хлопчиків, так і для дівчаток), є нейтральні, спокійні відтінки.
Переваги комплекту:
Ідеально підходить для стандартного дитячого ліжечка (120х60см).
Комплект виготовлений з високоякісної натуральної та міцної бавовняної тканини.
Ніжна кольорова гама, яка не стомлюватиме і дратуватиме очі малюка.
Роздільний бампер захищає малюка від ударів, застрягання в лозинах, протягів. Їм можна повністю затулити малюка по периметру ліжечка або лише з однієї або двох сторін, за бажанням.
м'яка якісна білизна, яка зберігає форму після багатьох прань
наявність балдахіна захищає малюка від пилу, комах, зайвої кількості світла та протягів. І звичайно балдахін є окрасою ліжечка. Завдяки його наявності новонароджений почувається спокійніше за рахунок штучного зменшення простору, в якому він знаходиться.
Характеристики:
Матеріал: 100% бавовна
Виробництво: Україна (ТМ ""Baby"")
Склад:

простирадло на резинці на матрац 120*60 см
підковдра 110*82 см.;
наволочка 58*38 см.;
ковдра. Наповнювач: антиалергенне волокно: силіконізований синтепон. Розмір: 110 * 82 см.;
подушка. Наповнювач: антиалергенне волокно: силіконізований синтепон. Розмір: 58*38 см.
балдахін 340*156 см;
бортик із 4-х сторін. Наповнювач: антиалергенне волокно: силіконізований синтепон. 2 шт.: 55 см * 36 см, 2 шт.: 113 см. * 36 см.
підвіска бант
кишеня для приладдя вашого малюка. Розмір: 55*45 см
АКЦІЯ!! Утримувач для балдахіна ― 286 грн.",899,Бізнес,https://www.olx.ua/d/uk/obyavlenie/rozprodazh-noviy-nabr-postlno-blizni-v-dityache-lzhechko-9-elementv-IDQHeHI.html?sd=1,Опубліковано Сьогодні о 11:29
Плащ плащик на падростка пальто,"Стан нового
Якість відмінна
Плащик на вік від 14 рочків, орієнтуйтесь по замірах
Заміри надам",450,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/plasch-plaschik-na-padrostka-palto-IDMTELW.html?sd=1,Опубліковано Сьогодні о 11:29
Кожаная сумка через плечо TSF Англия,"Длина 22 см.
Ширина 22 см.
Длина ручки 57 см.
Внутри два основных отделений и два дополнительных.
Сзади тоже есть карман.
Есть небольшие малозаметные потёртости и коррозия, последние фото.",350,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/kozhanaya-sumka-cherez-plecho-tsf-angliya-IDNw641.html?sd=1,Опубліковано Сьогодні о 11:29
"Кенгурушка, infantino","Нова. Кенгурушка, розрахована на дітей вагою 3.6-11.3 кг. Відправляю НП або Укрпоштою по передоплаті, ОЛХ відправка. Телефонуйте. Реальному покупцю знижка.",450,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/kengurushka-infantino-IDQkKMo.html?sd=1,Опубліковано Сьогодні о 11:30
